orig_name,new_name,type,class,prop_missing,train_missing
airconditioningtypeid,type_air_conditioning,cat,2,0.7275 ,0.6796 
architecturalstyletypeid,type_architectural_style,cat,4,0.9980 ,0.9972 
assessmentyear,year_assess,num,4,0.0000 ,0.0000 
basementsqft,area_base_finished,num,4,0.9995 ,0.9994 
bathroomcnt,num_bathroom_assessor,num,1,0.0024 ,0.0002 
bedroomcnt,num_bedroom,num,1,0.0024 ,0.0002 
block,block,cat,3,0.0251 ,0.0053 
buildingclasstypeid,type_building_framing,cat,4,0.9958 ,0.9998 
buildingqualitytypeid,rank_building_quality,num,1,0.3502 ,0.3616 
calculatedbathnbr,num_bathroom_zillow,num,1,0.0412 ,0.0109 
calculatedfinishedsquarefeet,area_living_finished_calc,num,1,0.0169 ,0.0053 
census,census,cat,3,0.0251 ,0.0053 
censustractandblock,census_block,none,4,0.0251 ,0.0053 
decktypeid,type_deck,cat,4,0.9942 ,0.9924 
finishedfloor1squarefeet,area_firstfloor_zillow,num,4,0.9319 ,0.9232 
finishedsquarefeet12,area_living_type_12,num,1,0.0905 ,0.0498 
finishedsquarefeet13,area_living_type_13,num,4,0.9974 ,0.9996 
finishedsquarefeet15,area_living_type_15,num,4,0.9362 ,0.9607 
finishedsquarefeet50,area_firstfloor_assessor,num,4,0.9319 ,0.9232 
finishedsquarefeet6,area_living_type_6,num,4,0.9927 ,0.9952 
fips,code_fips,cat,1,0.0024 ,0.0002 
fireplacecnt,num_fireplace,num,2,0.0000 ,0.0000 
fireplaceflag,flag_fireplace,cat,4,0.0000 ,0.0000 
fullbathcnt,num_fullbath,num,1,0.0412 ,0.0109 
garagecarcnt,num_garage,num,2,0.7028 ,0.6697 
garagetotalsqft,area_garage,num,2,0.7028 ,0.6697 
hashottuborspa,flag_spa_zillow,cat,4,0.0000 ,0.0000 
heatingorsystemtypeid,type_heating_system,cat,1,0.3844 ,0.3707 
landtaxvaluedollarcnt,dollar_taxvalue_land,num,1,0.0214 ,0.0002 
latitude,latitude,num,1,0.0024 ,0.0002 
longitude,longitude,num,1,0.0024 ,0.0002 
lotsizesquarefeet,area_lot,num,1,0.0919 ,0.1098 
numberofstories,num_story,num,2,0.7709 ,0.7727 
poolcnt,flag_pool,cat,4,0.0000 ,0.0000 
poolsizesum,area_pool,num,4,0.1677 ,0.1920 
pooltypeid10,type_pool_assessor,cat,4,0.0000 ,0.0000 
pooltypeid2,flag_pool_type_2,cat,4,0.0000 ,0.0000 
pooltypeid7,flag_pool_type_7,cat,4,0.0000 ,0.0000 
propertycountylandusecode,code_county_landuse,cat,3,0.0026 ,0.0002 
propertylandusetypeid,type_landuse,cat,1,0.0024 ,0.0002 
propertyzoningdesc,str_zoning_desc,cat,3,0.3365 ,0.3520 
raw_block,raw_block,cat,3,0.0024 ,0.0002 
raw_census,raw_census,cat,3,0.0024 ,0.0002 
rawcensustractandblock,raw_census_block,none,4,0.0024 ,0.0002 
regionidcity,code_city,cat,3,0.0209 ,0.0197 
regionidcounty,code_county,cat,4,0.0024 ,0.0002 
regionidneighborhood,code_neighborhood,cat,3,0.6126 ,0.6010 
regionidzip,code_zip,cat,3,0.0045 ,0.0007 
roomcnt,num_room,num,2,0.0024 ,0.0002 
storytypeid,type_story,cat,4,0.9995 ,0.9994 
structuretaxvaluedollarcnt,dollar_taxvalue_structure,num,1,0.0170 ,0.0032 
taxamount,dollar_tax,num,1,0.0090 ,0.0003 
taxdelinquencyflag,flag_tax_delinquency,cat,4,0.0000 ,0.0000 
taxdelinquencyyear,year_tax_due,num,4,0.9811 ,0.9721 
taxvaluedollarcnt,dollar_taxvalue_total,num,1,0.0129 ,0.0002 
threequarterbathnbr,num_34_bathroom,num,1,0.0000 ,0.0000 
type_pool,type_pool,cat,1,0.0000 ,0.0000 
typeconstructiontypeid,type_construction,cat,4,0.9977 ,0.9969 
unitcnt,num_unit,num,2,0.3370 ,0.3504 
yardbuildingsqft17,area_yard_patio,num,4,0.9729 ,0.9700 
yardbuildingsqft26,area_yard_storage,num,4,0.9991 ,0.9990 
yearbuilt,year_built,num,1,0.0180 ,0.0063 
