rank,score
1,0.0631885
2,0.0633304
3,0.0633546
4,0.0635955
5,0.0636260
6,0.0636602
7,0.0637818
8,0.0637881
9,0.0638315
10,0.0638492
11,0.0638724
12,0.0638843
13,0.0639057
14,0.0639392
15,0.0639422
16,0.0639437
17,0.0639483
18,0.0639737
19,0.0639850
20,0.0639897
21,0.0640011
22,0.0640049
23,0.0640052
24,0.0640066
25,0.0640070
26,0.0640150
27,0.0640169
28,0.0640179
29,0.0640194
30,0.0640219
31,0.0640231
32,0.0640257
33,0.0640297
34,0.0640327
35,0.0640339
36,0.0640339
37,0.0640384
38,0.0640389
39,0.0640405
40,0.0640414
41,0.0640424
42,0.0640439
43,0.0640457
44,0.0640501
45,0.0640513
46,0.0640532
47,0.0640551
48,0.0640590
49,0.0640616
50,0.0640621
51,0.0640651
52,0.0640658
53,0.0640660
54,0.0640661
55,0.0640665
56,0.0640671
57,0.0640692
58,0.0640701
59,0.0640701
60,0.0640703
61,0.0640718
62,0.0640721
63,0.0640730
64,0.0640738
65,0.0640762
66,0.0640762
67,0.0640792
68,0.0640794
69,0.0640796
70,0.0640801
71,0.0640830
72,0.0640836
73,0.0640851
74,0.0640862
75,0.0640869
76,0.0640869
77,0.0640872
78,0.0640896
79,0.0640900
80,0.0640911
81,0.0640912
82,0.0640913
83,0.0640914
84,0.0640921
85,0.0640923
86,0.0640934
87,0.0640938
88,0.0640946
89,0.0640949
90,0.0640950
91,0.0640951
92,0.0640952
93,0.0640956
94,0.0640957
95,0.0640963
96,0.0640969
97,0.0640974
98,0.0640976
99,0.0640976
100,0.0640976
101,0.0640983
102,0.0640985
103,0.0640987
104,0.0640989
105,0.0640990
106,0.0640997
107,0.0640998
108,0.0640999
109,0.0640999
110,0.0641018
111,0.0641020
112,0.0641020
113,0.0641026
114,0.0641029
115,0.0641033
116,0.0641033
117,0.0641040
118,0.0641042
119,0.0641043
120,0.0641053
121,0.0641055
122,0.0641056
123,0.0641066
124,0.0641073
125,0.0641085
126,0.0641090
127,0.0641090
128,0.0641100
129,0.0641100
130,0.0641111
131,0.0641111
132,0.0641114
133,0.0641115
134,0.0641118
135,0.0641121
136,0.0641122
137,0.0641126
138,0.0641134
139,0.0641135
140,0.0641135
141,0.0641135
142,0.0641150
143,0.0641151
144,0.0641153
145,0.0641155
146,0.0641171
147,0.0641172
148,0.0641190
149,0.0641197
150,0.0641207
151,0.0641212
152,0.0641215
153,0.0641216
154,0.0641226
155,0.0641227
156,0.0641233
157,0.0641239
158,0.0641241
159,0.0641243
160,0.0641251
161,0.0641255
162,0.0641261
163,0.0641262
164,0.0641262
165,0.0641267
166,0.0641268
167,0.0641269
168,0.0641270
169,0.0641271
170,0.0641278
171,0.0641289
172,0.0641290
173,0.0641291
174,0.0641299
175,0.0641302
176,0.0641303
177,0.0641313
178,0.0641320
179,0.0641322
180,0.0641331
181,0.0641342
182,0.0641343
183,0.0641350
184,0.0641351
185,0.0641352
186,0.0641358
187,0.0641364
188,0.0641366
189,0.0641370
190,0.0641376
191,0.0641379
192,0.0641386
193,0.0641390
194,0.0641396
195,0.0641401
196,0.0641409
197,0.0641411
198,0.0641412
199,0.0641413
200,0.0641415
201,0.0641415
202,0.0641415
203,0.0641420
204,0.0641422
205,0.0641423
206,0.0641423
207,0.0641424
208,0.0641425
209,0.0641427
210,0.0641428
211,0.0641428
212,0.0641433
213,0.0641433
214,0.0641441
215,0.0641444
216,0.0641462
217,0.0641465
218,0.0641472
219,0.0641477
220,0.0641501
221,0.0641506
222,0.0641507
223,0.0641513
224,0.0641523
225,0.0641528
226,0.0641531
227,0.0641541
228,0.0641547
229,0.0641548
230,0.0641549
231,0.0641571
232,0.0641588
233,0.0641589
234,0.0641592
235,0.0641594
236,0.0641606
237,0.0641612
238,0.0641613
239,0.0641618
240,0.0641623
241,0.0641629
242,0.0641635
243,0.0641637
244,0.0641637
245,0.0641665
246,0.0641673
247,0.0641680
248,0.0641683
249,0.0641687
250,0.0641687
251,0.0641687
252,0.0641689
253,0.0641692
254,0.0641698
255,0.0641700
256,0.0641702
257,0.0641703
258,0.0641704
259,0.0641711
260,0.0641716
261,0.0641717
262,0.0641726
263,0.0641726
264,0.0641726
265,0.0641726
266,0.0641726
267,0.0641726
268,0.0641728
269,0.0641729
270,0.0641729
271,0.0641737
272,0.0641737
273,0.0641738
274,0.0641738
275,0.0641740
276,0.0641745
277,0.0641747
278,0.0641752
279,0.0641762
280,0.0641764
281,0.0641764
282,0.0641766
283,0.0641768
284,0.0641775
285,0.0641781
286,0.0641793
287,0.0641799
288,0.0641806
289,0.0641808
290,0.0641809
291,0.0641811
292,0.0641815
293,0.0641815
294,0.0641824
295,0.0641825
296,0.0641845
297,0.0641848
298,0.0641854
299,0.0641855
300,0.0641857
301,0.0641857
302,0.0641860
303,0.0641864
304,0.0641866
305,0.0641886
306,0.0641888
307,0.0641893
308,0.0641896
309,0.0641901
310,0.0641903
311,0.0641904
312,0.0641904
313,0.0641905
314,0.0641906
315,0.0641911
316,0.0641916
317,0.0641920
318,0.0641920
319,0.0641920
320,0.0641920
321,0.0641922
322,0.0641931
323,0.0641931
324,0.0641934
325,0.0641939
326,0.0641939
327,0.0641939
328,0.0641939
329,0.0641939
330,0.0641939
331,0.0641939
332,0.0641939
333,0.0641939
334,0.0641939
335,0.0641939
336,0.0641939
337,0.0641939
338,0.0641939
339,0.0641939
340,0.0641939
341,0.0641939
342,0.0641939
343,0.0641939
344,0.0641939
345,0.0641939
346,0.0641939
347,0.0641939
348,0.0641939
349,0.0641939
350,0.0641939
351,0.0641939
352,0.0641939
353,0.0641939
354,0.0641939
355,0.0641939
356,0.0641939
357,0.0641939
358,0.0641939
359,0.0641939
360,0.0641939
361,0.0641939
362,0.0641939
363,0.0641939
364,0.0641939
365,0.0641939
366,0.0641939
367,0.0641939
368,0.0641939
369,0.0641939
370,0.0641939
371,0.0641939
372,0.0641939
373,0.0641939
374,0.0641939
375,0.0641939
376,0.0641939
377,0.0641939
378,0.0641939
379,0.0641939
380,0.0641939
381,0.0641939
382,0.0641939
383,0.0641939
384,0.0641939
385,0.0641939
386,0.0641939
387,0.0641939
388,0.0641939
389,0.0641939
390,0.0641939
391,0.0641939
392,0.0641939
393,0.0641939
394,0.0641939
395,0.0641939
396,0.0641939
397,0.0641939
398,0.0641939
399,0.0641939
400,0.0641939
401,0.0641942
402,0.0641942
403,0.0641955
404,0.0641971
405,0.0641985
406,0.0642010
407,0.0642017
408,0.0642028
409,0.0642031
410,0.0642035
411,0.0642050
412,0.0642054
413,0.0642079
414,0.0642104
415,0.0642104
416,0.0642104
417,0.0642105
418,0.0642109
419,0.0642115
420,0.0642150
421,0.0642158
422,0.0642175
423,0.0642179
424,0.0642194
425,0.0642196
426,0.0642197
427,0.0642199
428,0.0642206
429,0.0642208
430,0.0642208
431,0.0642209
432,0.0642209
433,0.0642243
434,0.0642244
435,0.0642244
436,0.0642250
437,0.0642263
438,0.0642267
439,0.0642272
440,0.0642277
441,0.0642340
442,0.0642377
443,0.0642382
444,0.0642384
445,0.0642387
446,0.0642387
447,0.0642392
448,0.0642399
449,0.0642404
450,0.0642408
451,0.0642411
452,0.0642424
453,0.0642427
454,0.0642433
455,0.0642437
456,0.0642450
457,0.0642450
458,0.0642479
459,0.0642494
460,0.0642501
461,0.0642505
462,0.0642515
463,0.0642520
464,0.0642523
465,0.0642532
466,0.0642532
467,0.0642533
468,0.0642537
469,0.0642544
470,0.0642549
471,0.0642557
472,0.0642564
473,0.0642566
474,0.0642569
475,0.0642577
476,0.0642578
477,0.0642578
478,0.0642578
479,0.0642578
480,0.0642579
481,0.0642580
482,0.0642583
483,0.0642583
484,0.0642590
485,0.0642593
486,0.0642597
487,0.0642600
