,cv_avg,cv_public_LB,cv_private_LB,score_public_LB,rank_public_LB,score_private_LB,rank_private_LB
median,0.0688602,0.0686197,0.0670265,0.0653607,3257,0.0763265,2839
lgb_raw,0.0678963,0.0680460,0.0660475,0.0643716,763,0.0752874,501
lgb_raw_sub_col,0.0680005,0.0681183,0.0661133,0.0644800,1406,0.0753710,680
lgb_raw_inc_mon,0.0678253,0.0678715,0.0659177,0.0641573,232,0.0750084,81
lgb_raw_inc_mon_outlier_rm,0.0678244,0.0678784,0.0659268,0.0641336,181,0.0749581,58
lgb_1step,0.0677833,0.0678285,0.0658481,0.0641632,242,0.0749579,58
lgb_1step_default_param,0.0681107,0.0680642,0.0661284,0.0643160,563,0.0752334,435
lgb_1step_blending,0.0677464,0.0678076,0.0658115,0.0641527,225,0.0749282,50
lgb_2step,0.0000000,0.0679743,0.0659063,0.0641599,236,0.0749253,49
lgb_2step_blending,0.0000000,0.0679547,0.0659018,0.0641384,192,0.0749144,44
catboost,0.0678176,0.0679126,0.0659212,0.0641350,183,0.0748987,40
catboost_default_param,0.0679174,0.0680927,0.0660387,0.0642229,433,0.0750398,113
cat_boost_blending,0.0000000,0.0000000,0.0000000,0.0640620,50,0.0748351,26
blending_lgb,0.0000000,0.0000000,0.0000000,0.0641301,175,0.0748995,40
blending_all,0.0000000,0.0000000,0.0000000,0.0640158,27,0.0747848,16
