l1-mean,l1-stdv,n_rounds,num_leaves,min_data_in_leaf,learning_rate
0.06792356124279444,0.00026956450939734133,4745,77,296,0.002755258910169332
0.06794265571775604,0.0002570098101789993,7676,33,311,0.003573301357381299
0.067927620810472,0.00026629071034977247,2009,58,285,0.008375452099602616
0.06796128314110031,0.0002738706431828774,402,38,445,0.07176252865328724
0.06794673565461037,0.0002837139808901997,1836,56,492,0.010005412501180228
0.06794624411931625,0.00027481774499756793,9075,34,532,0.0024690047633040136
0.06796837599036594,0.00026119361313867704,142,74,100,0.0738120566160266
0.06793406582828998,0.0002657720231218191,6230,36,375,0.004092011533856457
0.06796157460911208,0.00027028562977456387,12000,35,412,0.0013727389630337795
0.06795457502273564,0.00026973848239262573,357,78,351,0.03091803432456141
0.06796242643973867,0.0002702193550329281,361,64,412,0.044863636360479284
0.06792683544676872,0.00027207644210391517,11042,68,360,0.0013327274065588954
0.06795707786360947,0.0002778213461943123,1196,53,583,0.01700986508968424
0.06795606560869734,0.00028135310221981397,565,49,532,0.041047692970669306
0.06794453275781225,0.00028125862963993166,1966,46,474,0.010832437580156
0.06791116231618496,0.0002703444178255025,10939,74,192,0.0012517088195041705
0.06791419338523433,0.00024969227609638456,675,53,110,0.027987917458218558
0.06798675675103738,0.00026958977245040907,12000,30,417,0.0012138710172115916
0.06796371163593241,0.0002612115492696576,294,58,347,0.05182848409159942
0.06794362066293944,0.0002802885122536152,1976,66,519,0.008045068515717735
0.0679545723597491,0.0002862459706667454,987,57,581,0.01816761148983013
0.06793427989592869,0.0002698698938387731,7792,34,375,0.00364209906972756
0.067923181699031,0.00026937362355245695,10775,60,285,0.0015386982564468176
0.067946658471576,0.00028104902844193686,4952,59,565,0.0032942932331365294
0.06793611432094009,0.00026652690872545274,1835,32,183,0.01403113666175569
0.06793369996315313,0.00026901932887241087,2391,51,219,0.008998862126407534
0.06792556585421868,0.0002716122408788093,2899,77,372,0.004628907119006952
0.06792559069816588,0.000267831487331708,5292,73,333,0.002732303716912052
0.06793681828788099,0.00026516360222207045,7700,33,210,0.0033624131090469584
0.06794289118612666,0.0002747123931952267,12000,50,409,0.0012359963489458458
0.06793557278476439,0.00027377861735847057,2541,65,404,0.00652845816345351
0.06796740697490211,0.00027785551749228527,12000,38,574,0.0011750544754202139
0.06794960367857916,0.00028265270557508863,6900,73,595,0.0020100100936772114
0.06791681382380146,0.00027017314987376603,7403,69,231,0.0021031329902715654
0.06798861031745553,0.00026483741190200727,254,42,435,0.08331204884360556
0.06794137407247972,0.00028250336140647807,1678,68,473,0.01067454918315806
0.06796282492388156,0.0002785558290371134,665,74,575,0.02055544771838593
0.06796797535491547,0.00028221271506375837,588,72,595,0.025070453579198404
0.0679390074724596,0.0002754114223644683,478,71,269,0.030485322826606504
0.06795354874359591,0.00026264329862344277,12000,30,352,0.0018356627928433373
0.06794633404244843,0.0002563534797341536,235,64,112,0.0602544237893706
0.06794351231308504,0.0002810453877016238,1819,64,543,0.010096289076809225
0.06793294933536367,0.00028192446515498866,6055,79,449,0.002506351061454841
