features_avg,class_avg,avg_rank,split_rank_avg,gain_rank_avg,feature_split,class_split,split,feature_gain,class_gain,gain
year_built,1,1.5,1,2,year_built,1,2819,area_living_type_12,1,1390.721474722904
area_living_type_12,1,2.5,4,1,latitude,1,2652,year_built,1,1313.9391387727417
latitude,1,3.0,2,4,longitude,1,2410,area_living_finished_calc,1,1251.2653855418826
longitude,1,4.5,3,6,area_living_type_12,1,2341,latitude,1,1214.8830705294156
dollar_tax_per_area_living_finished_calc,new,5.5,6,5,area_lot,1,2143,dollar_tax_per_area_living_finished_calc,new,1032.219155184579
area_lot,1,6.0,5,7,dollar_tax_per_area_living_finished_calc,new,2019,longitude,1,1009.6203177876446
area_living_finished_calc,1,6.0,9,3,dollar_taxvalue_structure_per_area_living_finished_calc,new,1911,area_lot,1,970.2011431625161
dollar_tax,1,8.5,8,9,dollar_tax,1,1711,dollar_tax_per_area_lot,new,803.8564083775192
dollar_taxvalue_structure_per_area_living_finished_calc,new,8.5,7,10,area_living_finished_calc,1,1663,dollar_tax,1,770.6426226456972
dollar_tax_per_area_lot,new,9.5,11,8,dollar_taxvalue_structure,1,1634,dollar_taxvalue_structure_per_area_living_finished_calc,new,732.1088040529992
dollar_taxvalue_structure,1,11.0,10,12,dollar_tax_per_area_lot,new,1610,dollar_taxvalue_total_per_area_living_finished_calc,new,722.9132476633152
dollar_taxvalue_total_per_area_living_finished_calc,new,11.5,12,11,dollar_taxvalue_total_per_area_living_finished_calc,new,1486,dollar_taxvalue_structure,1,622.0177651056076
dollar_taxvalue_structure_land_absdiff,new,13.0,13,13,dollar_taxvalue_structure_land_absdiff,new,1462,dollar_taxvalue_structure_land_absdiff,new,598.2073723604132
dollar_taxvalue_land_per_area_lot,new,15.0,15,15,dollar_taxvalue_structure_per_area_lot,new,1428,dollar_taxvalue_total,1,595.917410445943
dollar_taxvalue_total,1,15.5,17,14,dollar_taxvalue_land_per_area_lot,new,1359,dollar_taxvalue_land_per_area_lot,new,564.8013009753456
dollar_taxvalue_structure_per_area_lot,new,15.5,14,17,dollar_taxvalue_land,1,1226,dollar_taxvalue_total_per_area_lot,new,563.483507001307
dollar_taxvalue_land,1,17.5,16,19,dollar_taxvalue_total,1,1216,dollar_taxvalue_structure_per_area_lot,new,558.139763200917
dollar_taxvalue_total_per_area_lot,new,17.5,19,16,code_city,3,1194,dollar_taxvalue_land_per_area_living_finished_calc,new,484.66059873180177
code_city,3,19.0,18,20,dollar_taxvalue_total_per_area_lot,new,1178,dollar_taxvalue_land,1,484.5128808289712
dollar_taxvalue_land_per_area_living_finished_calc,new,19.0,20,18,dollar_taxvalue_land_per_area_living_finished_calc,new,1122,code_city,3,483.35818989202863
dollar_taxvalue_structure_land_diff,new,21.0,21,21,dollar_taxvalue_structure_land_diff,new,1015,dollar_taxvalue_structure_land_diff,new,385.9910154692018
code_neighborhood,3,22.0,22,22,code_neighborhood,3,762,code_neighborhood,3,368.94258485638306
dollar_taxvalue_total_structure_ratio,new,23.0,23,23,dollar_taxvalue_total_structure_ratio,new,759,dollar_taxvalue_total_structure_ratio,new,333.61590352830564
dollar_taxvalue_structure_total_ratio,new,24.5,24,25,dollar_taxvalue_structure_total_ratio,new,739,area_pool,2,322.39099788911744
code_county_landuse,3,26.0,26,26,area_living_type_15,4,710,dollar_taxvalue_structure_total_ratio,new,304.5602454218852
area_living_type_15,4,26.0,25,27,code_county_landuse,3,700,code_county_landuse,3,280.04641725305004
area_garage,2,28.5,29,28,block,3,621,area_living_type_15,4,243.0190928285271
