class,feature,gain
1,year_built,2079.0778454497995
1,dollar_tax,2028.618951201358
1,latitude,1978.5044017406956
1,area_lot,1944.0189435114087
1,area_living_type_12,1913.2452741023856
1,area_living_finished_calc,1839.9080054004826
1,longitude,1785.507681913827
1,dollar_taxvalue_structure,1694.0439614839136
1,dollar_taxvalue_total,1544.6080037258675
1,dollar_taxvalue_land,1525.4144134864844
2,area_garage,484.08984309263815
2,area_pool,443.22058347538575
4,area_living_type_15,397.73463391115473
1,num_bedroom,310.0885867443681
2,rank_building_quality,275.95356984684594
1,type_landuse,265.6576291296313
2,num_bathroom_assessor,200.04127924059424
1,num_bathroom_zillow,191.89740426037213
1,type_heating_system,158.66398370321517
1,type_pool,122.4243936326053
1,num_fullbath,104.1238196209234
1,flag_tax_delinquency,104.01826877293283
2,num_unit,101.14245658389974
1,flag_spa_zillow,85.08357149769571
4,area_firstfloor_zillow,71.69908957500029
2,type_air_conditioning,71.43847607398207
2,num_garage,68.5480394711997
2,num_story,67.53546650012734
4,area_firstfloor_assessor,64.31742550233827
2,num_room,56.58945076301135
2,num_fireplace,39.81964652582638
4,area_yard_patio,35.984313170548496
4,year_tax_due,32.13209296256292
1,code_fips,6.322086740145278
