features_avg,avg_rank,split_rank_avg,gain_rank_avg,feature_split,class_split,split,feature_gain,class_gain,gain
year_built,1.5,2,1,area_lot,1,4394,year_built,1,1749.647242
area_lot,2.5,1,4,year_built,1,4251,area_living_type_12,1,1730.639205
dollar_tax,3.5,4,3,dollar_taxvalue_structure,1,3945,dollar_tax,1,1700.290151
area_living_type_12,4.5,7,2,dollar_tax,1,3795,area_lot,1,1630.489407
dollar_taxvalue_structure,5,3,7,latitude,1,3734,area_living_finished_calc,1,1563.398218
latitude,5.5,5,6,longitude,1,3675,latitude,1,1492.182341
longitude,7,6,8,area_living_type_12,1,3601,dollar_taxvalue_structure,1,1406.410849
area_living_finished_calc,7,9,5,dollar_taxvalue_land,1,3321,longitude,1,1398.920529
dollar_taxvalue_land,9,8,10,area_living_finished_calc,1,2800,dollar_taxvalue_total,1,1290.013428
dollar_taxvalue_total,9.5,10,9,dollar_taxvalue_total,1,2674,dollar_taxvalue_land,1,1266.886641
code_city,11,11,11,code_city,3,1520,code_city,3,516.1245056
area_garage,12,12,12,area_garage,2,1292,area_garage,2,434.3638248
area_living_type_15,13.5,13,14,area_living_type_15,4,1076,area_pool,2,373.715563
code_neighborhood,15,15,15,block,3,911,area_living_type_15,4,353.2691891
code_county_landuse,16,16,16,code_neighborhood,3,890,code_neighborhood,3,345.5643245
block,17,14,20,code_county_landuse,3,868,code_county_landuse,3,306.7313778
area_pool,18,23,13,raw_block,3,737,rank_building_quality,2,234.3843033
str_zoning_desc,18.5,18,19,str_zoning_desc,3,731,num_bedroom,1,232.791937
rank_building_quality,18.5,20,17,num_bedroom,1,698,str_zoning_desc,3,210.5797292
num_bedroom,18.5,19,18,rank_building_quality,2,617,block,3,199.1369006
raw_block,20.5,17,24,code_zip,3,516,num_bathroom_zillow,1,194.2235129
num_bathroom_zillow,21.5,22,21,num_bathroom_zillow,1,473,num_bathroom_assessor,2,173.771041
num_bathroom_assessor,23,24,22,area_pool,2,431,type_landuse,1,163.1097214
code_zip,24,21,27,num_bathroom_assessor,2,430,raw_block,3,159.3135774
type_landuse,24.5,26,23,type_heating_system,1,400,type_heating_system,1,144.4984026
type_heating_system,25,25,25,type_landuse,1,337,year_tax_due,4,117.3458434
year_tax_due,26.5,27,26,year_tax_due,4,304,code_zip,3,111.7548957
flag_spa_zillow,28.5,29,28,area_firstfloor_zillow,4,259,flag_spa_zillow,1,83.38868954
area_firstfloor_zillow,29.5,28,31,flag_spa_zillow,1,202,num_unit,2,75.94881792
num_unit,30,31,29,num_story,2,184,flag_pool,4,66.58060075
num_story,31.5,30,33,num_unit,2,177,area_firstfloor_zillow,4,66.13814826
type_air_conditioning,33,34,32,area_firstfloor_assessor,4,173,type_air_conditioning,2,58.63945688
area_firstfloor_assessor,33.5,32,35,area_yard_patio,4,168,num_story,2,56.05860844
flag_pool,34,38,30,type_air_conditioning,2,165,flag_tax_delinquency,1,55.73408897
area_yard_patio,35.5,33,38,num_fullbath,1,136,area_firstfloor_assessor,4,48.32172407
num_fullbath,35.5,35,36,num_room,2,128,num_fullbath,1,48.18503179
num_room,36.5,36,37,num_fireplace,2,113,num_room,2,37.90742367
flag_tax_delinquency,36.5,39,34,flag_pool,4,107,area_yard_patio,4,34.82277473
num_fireplace,38,37,39,flag_tax_delinquency,1,89,num_fireplace,2,29.81787901
num_garage,40,40,40,num_garage,2,83,num_garage,2,29.81781271
flag_pool_type_2,41.5,42,41,num_34_bathroom,4,69,flag_pool_type_2,4,28.04999527
num_34_bathroom,42.5,41,44,flag_pool_type_2,4,56,type_pool,1,26.60967902
census,43,43,43,census,3,47,census,3,18.95716811
type_pool,43,44,42,type_pool,1,39,num_34_bathroom,4,17.54264513
flag_pool_type_7,45,45,45,flag_pool_type_7,4,27,flag_pool_type_7,4,7.5729717
type_deck,46,46,46,type_deck,4,20,type_deck,4,4.227817576
code_fips,47,47,47,code_fips,1,13,code_fips,1,3.521841518
type_pool_assessor,48,48,48,type_pool_assessor,4,11,type_pool_assessor,4,2.47639078
area_living_type_6,49,49,49,area_living_type_6,4,9,area_living_type_6,4,1.880294328
code_county,50,50,50,code_county,4,4,code_county,4,1.134109696
raw_census,51.5,52,51,type_story,4,0,raw_census,3,0
type_story,52.5,51,54,raw_census,3,0,flag_fireplace,4,0
type_building_framing,53,53,53,type_building_framing,4,0,type_building_framing,4,0
flag_fireplace,53.5,55,52,area_living_type_13,4,0,type_story,4,0
area_living_type_13,55,54,56,flag_fireplace,4,0,area_yard_storage,4,0
area_base_finished,57,57,57,type_construction,4,0,area_living_type_13,4,0
area_yard_storage,57,59,55,area_base_finished,4,0,area_base_finished,4,0
type_construction,57.5,56,59,type_architectural_style,4,0,type_architectural_style,4,0
type_architectural_style,58,58,58,area_yard_storage,4,0,type_construction,4,0
