model_name,training_cv_meta,training_cv_lgbcv,testing,tag,memo
naive_median,0.068398788,,0.0653607,,
naive_mean,0.068731,na,0.0651282,,
naive_lgb,na,0.067154,0.0645428,,
naive_lgb_feature_downsize,na,0.067191,,,
naive_lgb_with_class4,na,0.0671432,0.0644639,,
naive_lgb_final,na,0.067142,0.0644925,20170917_v4,
feature_engineering1,na,0.0671139,0.064531,,
naive_lgb_full_raw_features,0.0671498,0.0671244,0.064553,,
fe_tax_dollars_per_area,na,0.0671524,,,
naive_lgb_full_raw_feature_2step,0.0671286,na,0.064603,,
naive_lgb_raw_feature_rm_x_outlier,0.0672017,,,,
naive_lgb_raw_feature_na_x_outlier,0.0671728,,,,
naive_lgb_raw_feature_rm_y_outlier,0.0671644,,,,
naive_lgb_raw_feature_capfloor_y_outlier,0.0671547,,,,
linear_svr,0.0680437,,,,
linear_svr_rm_outlier_y,0.0680404,,,,
linear_svr_lgb_stack,0.0671726,,,,
linear_svr_lgb_stack_rm_outlier_y,0.0671711,,,,
linear_svr_lgb_blend_lr,0.0696298,,,,
linear_svr_lgb_blend_ew,0.0673777,,,,
2layer_abserror,0.0680206,,,,
2layer_signerror,0.0671666,,,,
2layer_signerror_outlier_y_rm,0.0671615,,,,
2layer_miderror,0.0671785,,,,
2layer_miderror_outlier_y_rm,0.0671755,,,,
naive_lgb_final_blend_sign_clf,0.0671093,,0.0645994,,
lgb_with_fe3,0.0670662,,0.0645856,,
naive_lgb_with_2017,0.0670173,,0.064386,20171010_v1,
naive_lgb_with_2017_multi_blend,0.0670205,,0.0644064,,
2layer_sign_2y,0.067077121,,,,
raw_lgb_month_pred_no_outlier_rm,,,0.0641754,,
raw_lgb_month_pred_with_outlier_rm,,,0.0641775,,
fe3_lgb_with_2017_multi_blend,,,0.064424,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
naive_lag_with_2017_multi_blend_direct_mean_adj,,,0.0641973,,shift by 0.0035
