trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9985011244377109}",20,0,-200.77218184240414,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
2,False,"{'a': 0.3, 'e': 0.997004495503373}",20,0,-14.759387062269965,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.9955101098295706}",20,0,-36.13375500091037,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.9940179640539353}",30,0,-70.57546128319464,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.9925280548191384}",25,0,-125.46113724101481,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.9910403787728836}",20,5,-6.8121794106201135,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.3, 'e': 0.9895549325678993}",25,0,-168.16819541606355,"{0: 12, 1: 2, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.3, 'e': 0.9880717128619305}",25,0,-238.49726512192552,"{0: 12, 1: 3, 2: 4, 3: 2, 4: 4}",0
9,False,"{'a': 0.3, 'e': 0.9865907163177327}",25,0,-180.06923163962526,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.3, 'e': 0.9851119396030626}",20,0,-96.30185618960044,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.9836353793906724}",25,0,-84.74631484511202,"{0: 14, 1: 5, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.9821610323583008}",20,0,-28.845367110613818,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.9806888951886662}",20,0,-22.16270825497418,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.9792189645694596}",25,0,-46.786155308676456,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.9777512371933363}",25,0,-166.55111190951297,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.9762857097579093}",20,0,-112.44200217765392,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.9748223789657411}",20,0,-89.22367501288804,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
