trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9801986733067553}",25,0,-289.1627025686721,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 5}",0
2,False,"{'a': 0.3, 'e': 0.9607894391523232}",20,0,-26.528887864858053,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.3, 'e': 0.9417645335842487}",25,0,-122.09121585214567,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.9231163463866358}",30,0,-81.83453786357703,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,0,-45.914368378502594,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-166.02223682794332,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.3, 'e': 0.8693582353988059}",25,0,-225.8968767538639,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.3, 'e': 0.8521437889662113}",20,0,-51.58751298253339,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.835270211411272}",20,0,-23.96724837765187,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.8187307530779818}",25,0,17.55290366719948,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.8025187979624785}",25,0,-72.16308008276103,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.7866278610665535}",20,0,-55.66350296021978,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.7710515858035663}",20,0,-16.53609274650827,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.7557837414557255}",20,0,-50.99990483324469,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",1
15,False,"{'a': 0.3, 'e': 0.7408182206817179}",25,0,-137.20684080645734,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.7261490370736909}",25,0,-100.9636196414126,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.7117703227626097}",25,7,-7.420017182973458,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.3, 'e': 0.697676326071031}",20,0,-83.74030156338297,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.3, 'e': 0.6838614092123558}",25,0,-8.603767724118754,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.3, 'e': 0.6703200460356393}",25,0,-84.13897128622243,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.3, 'e': 0.6570468198150567}",25,0,-118.08817845013496,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.3, 'e': 0.6440364210831414}",30,0,-122.59331799235244,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.3, 'e': 0.631283645506926}",25,0,-121.1533643056746,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
24,False,"{'a': 0.3, 'e': 0.6187833918061408}",20,0,-44.40433587063432,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
25,False,"{'a': 0.3, 'e': 0.6065306597126334}",25,8,-62.08165792025819,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
26,False,"{'a': 0.3, 'e': 0.5945205479701944}",20,0,-73.25989870002992,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.3, 'e': 0.5827482523739896}",25,16,13.019252378863387,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.3, 'e': 0.5712090638488149}",20,0,-94.78948752903517,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
29,False,"{'a': 0.3, 'e': 0.559898366565402}",20,0,-84.34265844325458,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
30,False,"{'a': 0.3, 'e': 0.5488116360940265}",20,0,-50.58867754249366,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
31,False,"{'a': 0.3, 'e': 0.5379444375946745}",20,0,-17.836007593913955,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
32,False,"{'a': 0.3, 'e': 0.5272924240430485}",20,7,-10.677433950710872,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.5168513344916992}",25,0,-60.704353934747715,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
34,False,"{'a': 0.3, 'e': 0.5066169923655895}",25,0,-14.988966444144673,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.3, 'e': 0.49658530379140947}",20,0,-50.2172015131603,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.3, 'e': 0.4867522559599717}",30,16,24.122013744825896,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.4771139155210344}",20,6,-44.79494006314142,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.3, 'e': 0.46766642700990924}",20,9,-41.223285597522526,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
39,False,"{'a': 0.3, 'e': 0.4584060113052235}",20,10,-85.9947002766735,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
40,False,"{'a': 0.3, 'e': 0.44932896411722156}",20,4,0.9556283553743459,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.44043165450599925}",25,0,6.40109577769063,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.43171052342907973}",30,12,-23.341636345352484,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.3, 'e': 0.4231620823177488}",20,0,-61.88469694199792,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.4147829116815814}",20,12,-10.466819910316573,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.4065696597405991}",20,16,5.168776761122778,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.39851904108451414}",20,0,-15.103814616385188,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.3, 'e': 0.3906278353585211}",25,0,-81.21313094545044,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
48,False,"{'a': 0.3, 'e': 0.38289288597511206}",20,6,-6.466202518539333,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.3, 'e': 0.37531109885139957}",20,10,11.79708318070725,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.36787944117144233}",20,0,-20.451150085299876,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.3, 'e': 0.3605949401730783}",25,0,-31.672863213421856,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
52,False,"{'a': 0.3, 'e': 0.35345468195878016}",25,0,-23.901271698515036,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
53,False,"{'a': 0.3, 'e': 0.3464558103300574}",20,1,-27.547146600125878,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.3, 'e': 0.3395955256449391}",20,12,12.74174258638313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.33287108369807955}",25,12,23.169340559716332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.32627979462303947}",25,0,28.010237305534318,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.31981902181630384}",25,0,-70.26854311816447,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",1
58,False,"{'a': 0.3, 'e': 0.3134861808826053}",25,4,-2.1891274196673463,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.30727873860113125}",20,2,-19.520942104955715,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.3, 'e': 0.30119421191220214}",30,15,27.554388625454315,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.3, 'e': 0.2952301669240142}",25,11,-13.333154357128885,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.2893842179390506}",25,0,11.783429539219382,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
63,False,"{'a': 0.3, 'e': 0.2836540264997704}",25,7,-35.720340086418965,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.3, 'e': 0.27803730045319414}",20,4,-32.77325342662029,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
65,False,"{'a': 0.3, 'e': 0.2725317930340126}",20,1,-40.54680359189382,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
66,False,"{'a': 0.3, 'e': 0.26713530196585034}",25,20,7.8401948721779915,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.261845668580326}",30,21,10.529870992900424,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.3, 'e': 0.2566607769535559}",25,3,28.026316428468128,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.25157855305975646}",20,0,-56.71511425244849,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
70,False,"{'a': 0.3, 'e': 0.24659696394160643}",30,15,27.581028093084893,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.3, 'e': 0.24171401689703645}",25,13,11.040298392210072,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.3, 'e': 0.23692775868212176}",20,15,-3.0533173777484466,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.3, 'e': 0.23223627472975883}",25,2,29.510707415782903,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.22763768838381274}",25,8,26.52573553756447,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.3, 'e': 0.22313016014842982}",25,15,18.938073536697022,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.3, 'e': 0.21871188695221475}",20,5,4.112334302310293,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.21438110142697794}",30,19,-18.516413949936805,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.3, 'e': 0.21013607120076472}",30,16,-29.594185016174432,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.3, 'e': 0.20597509820488344}",20,4,30.270740319354616,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.3, 'e': 0.20189651799465538}",20,0,-35.218688627634315,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
81,False,"{'a': 0.3, 'e': 0.19789869908361465}",25,1,9.125729107467487,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.3, 'e': 0.19398004229089189}",20,0,-12.241907348362522,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
83,False,"{'a': 0.3, 'e': 0.1901389801015205}",20,13,16.12709532956317,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.18637397603940997}",30,0,32.64329588599245,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
85,False,"{'a': 0.3, 'e': 0.18268352405273466}",20,3,-6.313991095109534,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.3, 'e': 0.17906614791149322}",35,0,-14.196883632360981,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.3, 'e': 0.17552040061699686}",35,9,31.146229137792346,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.17204486382305054}",30,0,5.680963968703965,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
89,False,"{'a': 0.3, 'e': 0.1686381472685955}",25,15,8.699590706411877,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.16529888822158653}",20,0,12.656904496837186,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.3, 'e': 0.16202575093388075}",20,12,16.039223195345265,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.15881742610692068}",25,14,23.002516622080233,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
