trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,6,-65.60392843316858,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-138.08150622563835,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,12,-29.305800469748128,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-217.41199200568673,"{0: 22, 1: 0, 2: 5, 3: 6, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,4.083495094428882,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-127.93339077106911,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-95.43871033765754,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-120.93013411183819,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-232.79892607958686,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-113.7747073341984,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-275.80655936624504,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-145.64357236595862,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-253.8926358797441,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-134.54061538098276,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,4,-66.03331086926829,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-63.167964067786734,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-146.82435202120035,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-276.95726928950313,"{0: 11, 1: 2, 2: 10, 3: 5, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-160.2624610418666,"{0: 7, 1: 2, 2: 8, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-128.36890401175805,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.98212956114429,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,0,-60.25253106200565,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,0,-225.32579352245747,"{0: 19, 1: 3, 2: 9, 3: 1, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-98.90258098068983,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-94.66329306670289,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-141.36052554710113,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,-133.779065631326,"{0: 15, 1: 4, 2: 9, 3: 2, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-125.35355081316543,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-259.1842547971224,"{0: 20, 1: 4, 2: 4, 3: 3, 4: 4}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-71.44061441274783,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
